index,car,model,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,model.1,color,code
31,Volvo,142E,21.4,4.0,121.0,109.0,4.11,2.78 lbs,18.6,1.0,1.0,4.0,2.0,142E,,SY257
32,Mazda,RX4,21.0,6.0,160.0,110.0,3.9,2.875 lbs,17.02,,1.0,4.0,4.0,RX4,,HR900
33,harnet,Sportabout,18.7,8.0,360.0,175.0,3.15,3.44 lbs,17.02,,0.0,3.0,2.0,Sportabout,,BO375
34,harnet,Sportabout,18.7,8.0,360.0,175.0,3.15,3.44 lbs,17.02,,0.0,3.0,2.0,Sportabout,,KO499
35,Valiant,,18.1,6.0,225.0,105.0,2.76,3.46 lbs,20.22,1.0,0.0,3.0,1.0,,,HO389
36,Valiant,,18.1,6.0,225.0,105.0,2.76,3.46 lbs,20.22,1.0,0.0,3.0,1.0,,,IM524
37,Merc,240D,24.4,4.0,146.7,62.0,3.69,3.19 lbs,20.0,1.0,0.0,4.0,2.0,240D,,CI332
38,Merc,240D,24.4,4.0,146.7,62.0,3.69,3.19 lbs,20.0,1.0,0.0,4.0,2.0,240D,,ED379
39,Merc,230,22.8,4.0,140.8,95.0,3.92,3.15 lbs,22.9,1.0,0.0,4.0,2.0,230,,TG748
40,nerc,280C,17.8,6.0,167.6,123.0,3.92,3.44 lbs,18.9,1.0,0.0,4.0,4.0,280C,,PM575
41,nerc,280C,17.8,6.0,167.6,123.0,3.92,3.44 lbs,18.9,1.0,0.0,4.0,4.0,280C,,GI755
42,Merc,450SL,17.3,8.0,275.8,180.0,3.07,3.73 lbs,17.6,,0.0,3.0,3.0,450SL,,BO468
43,Merc,450SL,17.3,8.0,275.8,180.0,3.07,3.73 lbs,17.6,,0.0,3.0,3.0,450SL,,UW953
44,Lincoln,Continental,10.4,8.0,460.0,215.0,3.0,5.4239999999999995 lbs,17.82,,0.0,3.0,4.0,Continental,,ZO456
45,Toyota,Corona,21.5,4.0,120.1,97.0,3.7,2.465 lbs,20.01,1.0,0.0,3.0,1.0,Corona,,OO924
46,Toyota,Corona,21.5,4.0,120.1,97.0,3.7,2.465 lbs,20.01,1.0,0.0,3.0,1.0,Corona,,RE316
47,Camaro,Z28,13.3,8.0,350.0,245.0,3.73,3.84 lbs,15.41,,0.0,3.0,4.0,Z28,,WX733
48,Pontiac,Firebird,19.2,8.0,400.0,175.0,3.08,3.845 lbs,17.05,,0.0,3.0,2.0,Firebird,,MT127
49,Pontiac,Firebird,19.2,8.0,400.0,175.0,3.08,3.845 lbs,17.05,,0.0,3.0,2.0,Firebird,,BD949
50,Lotus,Europa,30.4,4.0,95.1,113.0,3.77,1.5130000000000001 lbs,16.9,1.0,1.0,5.0,2.0,Europa,,NI405
51,,,,,,,,,,,,,,,,
52,,,,,,,,nn,,,,,,,,nn
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,nn,,,,,,,,nn
56,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,
